source,class,sample_id,x,y
noise_sigma_0.5,Normal,21,0.11543480306863785,1.3065531253814697
noise_sigma_0.5,Normal,22,0.39379048347473145,1.0092524290084839
noise_sigma_0.5,Normal,23,0.8109186291694641,0.726604163646698
noise_sigma_0.5,Normal,24,0.5468944311141968,1.1627925634384155
noise_sigma_0.5,Normal,25,0.1753728836774826,0.8256068229675293
noise_sigma_0.5,Normal,26,-0.19213399291038513,1.2578409910202026
noise_sigma_0.5,Normal,27,0.5023195743560791,0.9511902332305908
noise_sigma_0.5,Normal,28,-0.004676853772252798,1.2495734691619873
noise_sigma_0.5,Normal,29,0.8702720403671265,0.778697669506073
noise_sigma_0.5,STEMI,30,0.6219279170036316,0.481270968914032
noise_sigma_0.5,STEMI,31,1.283335566520691,0.7534981369972229
noise_sigma_0.5,STEMI,32,0.6124462485313416,0.8679937124252319
noise_sigma_0.5,STEMI,33,0.44142553210258484,1.0450516939163208
noise_sigma_0.5,STEMI,34,0.6562634110450745,0.8148812651634216
noise_sigma_0.5,STEMI,35,0.5325145721435547,1.344698429107666
noise_sigma_0.5,STEMI,36,0.7825394868850708,0.6833420991897583
noise_sigma_0.5,STEMI,37,-0.2692851722240448,1.2128722667694092
noise_sigma_0.5,STEMI,38,0.5442789196968079,1.2029259204864502
noise_sigma_0.5,STEMI,39,-0.33061492443084717,1.2929571866989136
noise_sigma_0.5,STEMI,40,-0.4070703685283661,1.3604992628097534
noise_sigma_0.5,STEMI,41,0.07561766356229782,1.47062087059021
noise_sigma_0.5,STEMI,42,0.3593682646751404,1.3884506225585938
noise_sigma_0.5,STEMI,43,1.111873984336853,1.3701817989349365
noise_sigma_0.5,STEMI,44,1.53824782371521,1.324690818786621
noise_sigma_0.5,STEMI,45,-0.22859664261341095,1.4051969051361084
noise_sigma_0.5,STEMI,46,-0.05426504835486412,1.3170276880264282
noise_sigma_0.5,STEMI,47,0.008740928024053574,1.1128779649734497
noise_sigma_0.5,STEMI,48,0.519273042678833,0.8230738639831543
noise_sigma_0.5,STEMI,49,0.3275008797645569,1.241352915763855
noise_sigma_0.5,STEMI,50,0.3705739974975586,1.2688977718353271
noise_sigma_0.5,STEMI,51,0.49651744961738586,1.3243046998977661
noise_sigma_0.5,STEMI,52,0.17249862849712372,1.3206292390823364
noise_sigma_0.5,STEMI,53,-0.2415515035390854,1.485134243965149
noise_sigma_0.5,STEMI,54,0.019829295575618744,1.4351816177368164
noise_sigma_0.5,STEMI,55,0.5065076351165771,1.5244988203048706
noise_sigma_0.5,STEMI,56,0.9042104482650757,1.0559648275375366
noise_sigma_0.5,STEMI,57,1.110991358757019,1.769019365310669
noise_sigma_0.5,STEMI,58,0.43429818749427795,1.0093439817428589
noise_sigma_0.5,STEMI,59,0.3148169219493866,1.0084961652755737
noise_sigma_0.5,NSTEMI,60,1.6090824604034424,1.0465340614318848
noise_sigma_0.5,NSTEMI,61,0.42219972610473633,1.0934123992919922
noise_sigma_0.5,NSTEMI,62,0.5435712337493896,1.1833735704421997
noise_sigma_0.5,NSTEMI,63,1.063625454902649,1.0247746706008911
noise_sigma_0.5,NSTEMI,64,1.4655158519744873,1.6435447931289673
noise_sigma_0.5,NSTEMI,65,1.667178750038147,0.5430886745452881
noise_sigma_0.5,NSTEMI,66,1.5013641119003296,1.3873989582061768
noise_sigma_0.5,NSTEMI,67,0.851357638835907,1.0091406106948853
noise_sigma_0.5,NSTEMI,68,1.3164172172546387,0.6046428084373474
noise_sigma_0.5,NSTEMI,69,1.1060882806777954,1.2038406133651733
noise_sigma_0.5,NSTEMI,70,-0.4159606397151947,1.3701673746109009
noise_sigma_0.5,NSTEMI,71,1.094681739807129,1.1733384132385254
noise_sigma_0.5,NSTEMI,72,0.5255956649780273,1.012244462966919
noise_sigma_0.5,NSTEMI,73,1.7741032838821411,1.4003764390945435
noise_sigma_0.5,NSTEMI,74,1.2831506729125977,1.0893548727035522
noise_sigma_0.5,NSTEMI,75,0.5908134579658508,1.4787545204162598
noise_sigma_0.5,NSTEMI,76,4.272280693054199,0.34345167875289917
noise_sigma_0.5,NSTEMI,77,1.5280263423919678,0.6840162873268127
noise_sigma_0.5,NSTEMI,78,3.91111159324646,-0.5457424521446228
noise_sigma_0.5,NSTEMI,79,0.11828383058309555,1.2925485372543335
noise_sigma_0.5,NSTEMI,80,0.9935281872749329,0.7538367509841919
noise_sigma_0.5,NSTEMI,81,3.0926318168640137,0.7844605445861816
noise_sigma_0.5,NSTEMI,82,0.47400352358818054,1.5960603952407837
noise_sigma_0.5,NSTEMI,83,2.860166072845459,0.6063700914382935
noise_sigma_0.5,NSTEMI,84,0.2050054520368576,1.5261318683624268
noise_sigma_0.5,NSTEMI,85,1.0966758728027344,1.146432876586914
noise_sigma_0.5,NSTEMI,86,0.8514284491539001,1.3195985555648804
noise_sigma_0.5,NSTEMI,87,-0.029548607766628265,1.081663727760315
noise_sigma_0.5,NSTEMI,88,0.7204182744026184,1.0686696767807007
noise_sigma_0.5,NSTEMI,89,0.14446361362934113,0.9049930572509766
noise_sigma_0.5,AFIB,90,2.6195952892303467,0.859743595123291
noise_sigma_0.5,AFIB,91,1.6537586450576782,1.13601553440094
noise_sigma_0.5,AFIB,92,1.7155228853225708,1.3335717916488647
noise_sigma_0.5,AFIB,93,2.069664716720581,1.4019771814346313
noise_sigma_0.5,AFIB,94,2.077303409576416,1.29867684841156
noise_sigma_0.5,AFIB,95,0.5417668223381042,1.1854981184005737
noise_sigma_0.5,AFIB,96,0.4843200743198395,1.0161325931549072
noise_sigma_0.5,AFIB,97,1.094104528427124,0.9654161930084229
noise_sigma_0.5,AFIB,98,2.061603307723999,1.5840002298355103
noise_sigma_0.5,AFIB,99,3.0942375659942627,0.6288192868232727
noise_sigma_0.5,AFIB,100,2.5349342823028564,0.9305406808853149
noise_sigma_0.5,AFIB,101,1.867019772529602,1.6453872919082642
noise_sigma_0.5,AFIB,102,-0.04913603886961937,1.674254298210144
noise_sigma_0.5,AFIB,103,0.8852042555809021,1.1815744638442993
noise_sigma_0.5,AFIB,104,0.5400689244270325,0.9785167574882507
noise_sigma_0.5,AFIB,105,3.023392915725708,1.6522334814071655
noise_sigma_0.5,AFIB,106,3.091700553894043,0.7879623770713806
noise_sigma_0.5,AFIB,107,-0.12087556719779968,1.3115098476409912
noise_sigma_0.5,AFIB,108,0.8782661557197571,1.0395702123641968
noise_sigma_0.5,AFIB,109,1.1849477291107178,1.2947728633880615
noise_sigma_0.5,AFIB,110,-0.1771058887243271,1.1758581399917603
noise_sigma_0.5,AFIB,111,0.8378176093101501,1.2047611474990845
noise_sigma_0.5,AFIB,112,0.4754401445388794,0.9294692873954773
noise_sigma_0.5,AFIB,113,0.4197610914707184,0.8430739045143127
